"filename", "language", "XML", "HLSL", "JSON", "ShaderLab", "C#", "Log", "comment", "blank", "total"
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.PlasticSCM.Editor.csproj", "XML", 991, 0, 0, 0, 0, 0, 7, 1, 999
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.Rider.Editor.csproj", "XML", 719, 0, 0, 0, 0, 0, 7, 1, 727
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.Services.Core.Editor.csproj", "XML", 788, 0, 0, 0, 0, 0, 7, 1, 796
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.TextMeshPro.Editor.csproj", "XML", 751, 0, 0, 0, 0, 0, 7, 1, 759
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.TextMeshPro.csproj", "XML", 735, 0, 0, 0, 0, 0, 7, 1, 743
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.Timeline.Editor.csproj", "XML", 974, 0, 0, 0, 0, 0, 7, 1, 982
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.Timeline.csproj", "XML", 749, 0, 0, 0, 0, 0, 7, 1, 757
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.VSCode.Editor.csproj", "XML", 707, 0, 0, 0, 0, 0, 7, 1, 715
"d:\Programování\Unity\Kart-Racer\Kart-Racer\Unity.VisualStudio.Editor.csproj", "XML", 726, 0, 0, 0, 0, 0, 7, 1, 734
"d:\Programování\Unity\Kart-Racer\Kart-Racer\UnityEditor.TestRunner.csproj", "XML", 831, 0, 0, 0, 0, 0, 7, 1, 839
"d:\Programování\Unity\Kart-Racer\Kart-Racer\UnityEditor.UI.csproj", "XML", 732, 0, 0, 0, 0, 0, 7, 1, 740
"d:\Programování\Unity\Kart-Racer\Kart-Racer\UnityEngine.TestRunner.csproj", "XML", 765, 0, 0, 0, 0, 0, 7, 1, 773
"d:\Programování\Unity\Kart-Racer\Kart-Racer\UnityEngine.UI.csproj", "XML", 751, 0, 0, 0, 0, 0, 7, 1, 759
"Total", "-", 11784, 323, 555, 2015, 319, 6916, 232, 897, 23041
